query,vol,kd,cpc,competition,intent,assigned_to,priority,status,compliance_risk,notes,primary_article_slug,coverage_status,kd_source,score,role,compliance,ai_overview,serp_verdict,sources
andro prime uk,0,,,,branded,brand,4,pending,low,navigational,,,dfs,0,spoke,low,,,csv
free testosterone,0,29,0,0,informational,pillar-C,4,validated,high,C spoke,,,dfs,2,spoke,gate,,,csv
shbg test,260,7,2.31,0.84,commercial,pillar-C,3,validated,high,C spoke marker,,,dfs,5,commercial,gate,,,csv
vitamin d deficiency men,0,,0,0.19,informational,dropped,3,dropped,medium,no demand drop,,,legacy,,,,,,
vitamin b12 deficiency symptoms,0,71,0,0,informational,pillar-A,4,validated,medium,A spoke B12 angle,,,dfs,0,spoke,medium,,,csv
magnesium deficiency symptoms,0,45,0.05,0.11,informational,pillar-A,4,validated,medium,A spoke alt deficiency,,,dfs,1,spoke,medium,,,csv
active b12 deficiency,20,,0,0.33,informational,dropped,3,dropped,medium,too narrow vs B12 deficiency,,,legacy,,,,,,
low ferritin men,0,,0,0.01,informational,dropped,3,dropped,medium,gendered cut zero demand,,,legacy,,,,,,
best supplements for men over 40,320,3,1.97,1,commercial,pillar-D,3,validated,medium,Daily Stack funnel,,,dfs,4,spoke,medium,,,csv
best vitamins for men uk,320,4,1.2,1,commercial,lp-daily-stack,3,validated,medium,Daily Stack LP target,,,dfs,4,spoke,medium,,,csv
testosterone supplements uk,1000,2,1.49,1,commercial,lp-daily-stack,3,validated,very-high,LP target commercial trap,,,dfs,5,spoke,gate,,,csv
supplements for low testosterone,260,18,1.3,1,commercial,lp-daily-stack,4,validated,very-high,LP target commercial,,,dfs,3,spoke,gate,,,csv
mens supplements uk,0,,0,0,commercial,dropped,3,dropped,medium,no demand,,,legacy,,,,,,
methylcobalamin uk,20,,0.87,1,commercial,dropped,3,dropped,medium,too narrow,,,legacy,,,,,,
mens daily vitamins uk,0,,,,commercial,dropped,3,dropped,medium,no demand,,,legacy,,,,,,
supplement subscription uk,70,,2.37,0.99,commercial,dropped,3,dropped,medium,low vol,,,legacy,,,,,,
mens health subscription uk,0,,4.21,0.99,commercial,dropped,3,dropped,medium,no demand,,,legacy,,,,,,
hrt for men uk,0,,0,0,informational,dropped,3,dropped,very-high,no demand TRT-adjacent,,,legacy,,,,,,
testosterone clinic london,20,,0,0,commercial,dropped,3,dropped,very-high,low vol TRT trap,,,legacy,,,,,,
trt uk private,90,,3.02,0.99,commercial,pillar-E,3,validated,very-high,E spoke,,,legacy,,,,,,
high crp what to do,0,,,,informational,dropped,3,dropped,low,no demand,,,legacy,,,,,,
low testosterone what to do,5400,31,,,informational,dropped,4,dropped,medium,no demand,,,dfs,3,spoke,gate,,,discovery
low vitamin d what to do,20,,0,0.02,informational,dropped,3,dropped,medium,low vol,,,legacy,,,,,,
low b12 what to do,0,,,,informational,dropped,3,dropped,medium,no demand,,,legacy,,,,,,
low ferritin what to do,4400,40,0,0.66,informational,dropped,4,dropped,medium,low vol,,,dfs,3,spoke,medium,,,discovery
normal testosterone range uk,0,,0,0,informational,dropped,3,dropped,medium,no demand,,,legacy,,,,,,
normal vitamin d range uk,0,,0.95,0.01,informational,dropped,3,dropped,medium,no demand,,,legacy,,,,,,
normal b12 range uk,30,,0,0.01,informational,dropped,3,dropped,medium,low vol,,,legacy,,,,,,
vitamins for tired men,0,,,,commercial,dropped,3,dropped,medium,no demand,,,legacy,,,,,,
private gp blood test uk,0,,,,commercial,dropped,3,dropped,medium,no demand,,,legacy,,,,,,
best at home blood test uk,50,,2.83,1,commercial,dropped,3,dropped,medium,low vol superseded by 'at home blood test uk',,,legacy,,,,,,
best private blood test uk,0,,0,0,commercial,dropped,3,dropped,medium,no demand,,,legacy,,,,,,
private blood test for men uk,0,,,,commercial,dropped,3,dropped,medium,no demand,,,legacy,,,,,,
best mens blood test uk,0,,,,commercial,dropped,3,dropped,medium,no demand,,,legacy,,,,,,
best health check uk,30,,3.33,0.9,commercial,dropped,3,dropped,medium,low vol,,,legacy,,,,,,
private blood test london,0,14,0,0,local,programmatic-cities,3,validated,low,duplicate intentional for routing,,,dfs,4,commercial,low,,,csv
how to interpret blood test as a pt,0,,,,informational,trade,3,dropped,medium,PT-trade no demand,,,legacy,,,,,,
how to recommend supplements to clients,0,,,,informational,trade,3,dropped,medium,PT-trade no demand,,,legacy,,,,,,
pt nutrition course,0,,,,informational,trade,3,dropped,medium,PT-trade no demand,,,legacy,,,,,,
pt blood test guide,0,,,,informational,trade,3,dropped,medium,PT-trade no demand,,,legacy,,,,,,
blood test for clients,0,,,,informational,trade,3,dropped,medium,PT-trade no demand,,,legacy,,,,,,
biomarkers for personal trainers,0,,,,informational,trade,3,dropped,medium,PT-trade no demand,,,legacy,,,,,,
blood markers for trainers,0,,,,informational,trade,3,dropped,medium,PT-trade no demand,,,legacy,,,,,,
personal trainer business growth,0,,,,informational,trade,3,dropped,medium,PT-trade no demand,,,legacy,,,,,,
pt business uk,0,,,,informational,trade,3,dropped,medium,PT-trade no demand,,,legacy,,,,,,
gym health partnership,0,,,,informational,trade,3,dropped,medium,PT-trade no demand,,,legacy,,,,,,
supplement affiliate programme uk,0,,,,informational,trade,3,dropped,medium,no demand,,,legacy,,,,,,
fitness affiliate programme uk,0,,,,informational,trade,3,dropped,medium,no demand,,,legacy,,,,,,
mens health affiliate programme,0,,,,informational,trade,3,dropped,medium,no demand,,,legacy,,,,,,
blood test affiliate,0,,,,informational,trade,3,dropped,medium,no demand,,,legacy,,,,,,
pt client wellness,0,,,,informational,trade,3,dropped,medium,PT-trade no demand,,,legacy,,,,,,
annual blood check,0,,,,informational,geo,3,dropped,low,no Google demand,,,legacy,,,,,,
testosterone levels by age,390,1,2.53,0.15,informational,pillar-C,3,validated,medium,intentional duplicate; primary assigned on the other testosterone-levels-by-age row; DFS KD1 not 64,,,dfs,4,spoke,gate,,,csv
normal testosterone by age,40,,0,0.15,informational,dropped,3,dropped,medium,low vol,,,legacy,,,,,,
best time to test testosterone,20,,0,0.26,informational,dropped,3,dropped,medium,low vol,,,legacy,,,,,,
vitamin d dose for men,0,,0,1,informational,dropped,3,dropped,medium,no demand,,,legacy,,,,,,
b12 dose for men,30,,0,0.71,informational,dropped,3,dropped,medium,low vol,,,legacy,,,,,,
b12 test uk,50,,1.05,1,commercial,dropped,3,dropped,medium,low vol; b12 blood test already validated,,,legacy,,,,,,
mounjaro weight loss,40500,,5.34,1,commercial,unassigned,3,validated,very-high,weight-loss adjacent; not Andro Prime,,,legacy,,,,,,
weight loss injections,165000,29,7.07,1,commercial,unassigned,3,validated,very-high,weight-loss; not Andro Prime scope,,,dfs,6,spoke,very-high,,,csv
semaglutide,60500,,4.17,0.87,commercial,unassigned,3,validated,very-high,weight-loss; not Andro Prime,,,legacy,,,,,,
numan,40500,,8.99,1,branded,programmatic-compare,3,validated,medium,competitor brand root,,,legacy,,,,,,
mens energy blood test,0,,,,commercial,dropped,3,dropped,medium,no demand,,,legacy,,,,,,
energy blood test uk,0,,,,commercial,dropped,3,dropped,medium,no demand,,,legacy,,,,,,
recovery blood test uk,0,,,,commercial,dropped,3,dropped,medium,no demand,,,legacy,,,,,,
joint inflammation blood test,0,,,,commercial,dropped,3,dropped,medium,no demand,,,legacy,,,,,,
fatigue blood test at home,0,,,,commercial,dropped,3,dropped,medium,no demand,,,legacy,,,,,,
constant fatigue male,0,,,,informational,dropped,3,dropped,medium,no demand,,,legacy,,,,,,
why am i always tired uk,20,,0,0.29,informational,dropped,3,dropped,medium,low vol; superseded by B.hub,,,legacy,,,,,,
blood tests for men over 40,20,,0,1,informational,dropped,3,dropped,medium,low vol; ICP3 dead,,,legacy,,,,,,
hs-crp explained,0,,,,informational,dropped,3,dropped,medium,no demand,,,legacy,,,,,,
private blood test vs nhs,0,,,,informational,dropped,3,dropped,medium,no demand,,,legacy,,,,,,
comprehensive blood test men uk,0,,,,commercial,dropped,3,dropped,medium,ICP3 dead,,,legacy,,,,,,
home blood test uk men,0,,,,commercial,dropped,3,dropped,medium,no demand,,,legacy,,,,,,
how to read blood test results uk,30,,0,0.02,informational,dropped,3,dropped,low,low vol; superseded,,,legacy,,,,,,
men's health blood test,0,0,0,0,commercial,pillar-D,3,validated,low,duplicate intentional; lowest KD,,,dfs,5,commercial,low,,,csv
shbg explained,20,,0,0.33,informational,dropped,3,dropped,high,low vol; superseded,,,legacy,,,,,,
free testosterone vs total,50,,0,0,informational,dropped,3,dropped,high,low vol; superseded,,,legacy,,,,,,
how much vitamin d3 should i take daily,9900,37,0.53,0.4,commercial,pillar-A,3,validated,medium,A.2 duplicate intentional,,planned,dfs,4,spoke,medium,,,csv
fatigue blood test uk,20,,1.34,0.99,commercial,dropped,3,dropped,medium,low vol; supplanted by blood test for fatigue,,,legacy,,,,,,
vitamin a and d deficiency,49500,37,0.23,0.36,informational,dropped,3,dropped,medium,not relevant focus,,,dfs,5,spoke,medium,,,csv
calciferol cholecalciferol,6600,,0.63,0.66,informational,dropped,3,dropped,medium,clinical term low intent,,,legacy,,,,,,
british supplements,40500,,41.33,1,commercial,dropped,3,dropped,medium,brand term not us,,,legacy,,,,,,
inflammatory markers,2900,27,0.78,0.01,informational,pillar-G,3,validated,medium,G spoke,,planned,dfs,4,spoke,medium,,,csv
how can i reduce inflammation,1300,,0.22,0.99,informational,pillar-G,4,validated,high,G FAQ compliance,,planned,dfs,1,spoke,gate,,,csv
how to get rid of inflammation in the body,1300,48,0.22,1,informational,pillar-G,4,validated,high,DFS 2026-06-20 vol1300/KD48; how-to top-of-funnel; spoke candidate (off diagnostic-hub intent),,planned,dfs,1,spoke,gate,,,csv
how to lower inflammation in the body,1600,31,0.24,1,informational,pillar-G,4,validated,high,G FAQ compliance,,planned,dfs,2,spoke,gate,,,csv
foods that stop inflammation,1300,,0.15,1,informational,dropped,3,dropped,medium,recipe content not Andro Prime,,excluded,legacy,,,,,,
anti inflammatory foods,22200,74,0.12,1,informational,dropped,3,dropped,medium,recipe content not Andro Prime,,excluded,legacy,,,,,,
how much c reactive protein level is dangerous,6600,43,0.27,0,informational,pillar-D,4,validated,low,D FAQ,,published,dfs,3,spoke,low,,,csv
crp normal value range,4400,,0.25,0.03,informational,pillar-D,4,validated,low,D FAQ,,published,dfs,2,spoke,low,,,csv
what does crp mean,260,,0,0.01,informational,pillar-D,4,validated,low,D FAQ,,published,dfs,0,spoke,low,,,csv
what does crp stand for,260,46,0,0,informational,pillar-D,4,validated,low,D FAQ,,published,dfs,0,spoke,low,,,csv
what is a crp blood test,27100,7,0,0,informational,pillar-D,1,validated,low,D FAQ,,published,dfs,10,commercial,low,Y,MIXED,backlog+csv
what does crp blood test mean,880,42,0.1,0.02,informational,pillar-D,4,validated,low,D FAQ,,published,dfs,3,commercial,low,,,csv
what does raised crp mean,320,,0,0.01,informational,pillar-D,4,validated,low,D FAQ,,published,dfs,0,spoke,low,,,csv
hba1c blood test,0,44,0,0,commercial,pillar-I,4,validated,low,panel anchor - SERP=diabetes charities + NHS zero UK men-specialist,,,dfs,2,commercial,low,,,csv
fasting insulin test,720,0,1.03,0.99,commercial,pillar-I,3,validated,low,low-KD spoke - HOMA-IR/insulin resistance,,,dfs,6,commercial,low,,,csv
fasting glucose test,880,23,1.24,0.65,commercial,pillar-I,3,validated,low,panel marker,,,dfs,4,commercial,low,,,csv
cholesterol blood test,3600,25,1.04,0.94,commercial,pillar-I,3,validated,low,panel marker,,,dfs,5,commercial,low,,,csv
cholesterol test at home,2900,0,0,0,commercial,pillar-I,3,validated,low,LP-grade low KD,,,dfs,6,spoke,low,,,backlog+csv
private cholesterol test,260,0,0.81,1,commercial,pillar-I,3,validated,low,LP-grade low KD,,,dfs,5,commercial,low,,,csv
apob test,880,12,1.1,1,commercial,pillar-I,3,validated,low,UNDERSERVED differentiator vs Medichecks/Thriva - NHS doesnt test ApoB - KD 13,,,dfs,5,commercial,low,,,backlog+csv
homocysteine test uk,260,0,0.93,1,commercial,pillar-I,3,validated,low,UNDERSERVED advanced cardio marker - KD 12,,,dfs,5,commercial,low,,,csv
lipid blood test,5400,26,0.8,0.12,commercial,pillar-I,3,validated,low,panel marker,,,dfs,5,commercial,low,,,csv
triglycerides test,260,14,0.66,1,commercial,pillar-I,3,validated,low,spoke,,,dfs,4,commercial,low,,,csv
cholesterol test uk,260,12,0.82,1,commercial,pillar-I,3,validated,low,spoke,,,dfs,4,commercial,low,,,csv
hba1c test uk,0,12,0,0,commercial,pillar-I,3,validated,low,UK variant,,,dfs,4,commercial,low,,,csv
private hba1c test,0,0,0,0,commercial,pillar-I,3,validated,low,LP variant,,,dfs,5,commercial,low,,,csv
diabetes blood test uk,0,39,0,0,commercial,pillar-I,4,validated,low,low vol,,,dfs,2,commercial,low,,,csv
insulin test uk,0,0,0,0,commercial,pillar-I,3,validated,low,spoke,,,dfs,5,commercial,low,,,csv
thyroid function test,0,46,0,0,commercial,pillar-J,4,validated,low,panel anchor,,,dfs,1,commercial,low,,,csv
private thyroid test,0,0,0,0,commercial,pillar-J,3,validated,low,UNDERSERVED KD 11 second-easiest target in entire SEO universe,,,dfs,5,commercial,low,,,csv
tpo antibodies,0,11,0,0,commercial,pillar-J,4,validated,low,Hashimotos autoimmune marker,,,dfs,3,spoke,low,,,csv
full thyroid panel,0,4,0,0,commercial,pillar-J,3,validated,low,LP-grade,,,dfs,4,spoke,low,,,csv
t4 test,210,13,0.98,0.75,commercial,pillar-J,3,validated,low,marker,,,dfs,4,commercial,low,,,csv
thyroid antibodies test,0,26,0,0,commercial,pillar-J,4,validated,low,marker,,,dfs,3,commercial,low,,,csv
thyroid blood test uk,0,10,0,0,commercial,pillar-J,3,validated,low,marker,,,dfs,5,commercial,low,,,csv
free t4 test,140,36,1.3,0.32,commercial,pillar-J,4,validated,low,marker,,,dfs,2,commercial,low,,,csv
reverse t3 test,90,0,1.14,1,commercial,pillar-J,3,validated,low,advanced marker,,,dfs,5,commercial,low,,,csv
free t3 test,40,,0.75,1,commercial,pillar-J,4,validated,low,marker,,,dfs,1,commercial,low,,,csv
tsh test uk,10,,1.09,0.99,commercial,pillar-J,4,validated,low,low vol,,,dfs,1,commercial,low,,,csv
cortisol blood test,2900,14,1,1,commercial,future-kit-cortisol,3,validated,low,panel anchor - SERP has Medichecks product page dominant,,,dfs,6,commercial,low,,,backlog+backlog+csv
cortisol test uk,880,0,0.91,1,commercial,future-kit-cortisol,3,validated,low,LP-grade KD 15,,,dfs,6,commercial,low,,,backlog+csv+backlog
adrenal blood test,260,9,1.17,0.84,commercial,future-kit-cortisol,3,validated,low,spoke,,,dfs,5,commercial,low,,,csv
saliva cortisol test,480,1,0.87,1,commercial,future-kit-cortisol,3,validated,low,methodology variant - 4-sample diurnal preferred clinically,,,dfs,5,commercial,low,,,csv
dhea test uk,20,37,2.12,0.99,commercial,future-kit-cortisol,4,validated,low,DHEA-S adrenal marker,,,dfs,2,commercial,low,,,csv
dhea-s test,210,,1.95,0.97,commercial,future-kit-cortisol,4,validated,low,DHEA-S adrenal marker,,,dfs,1,commercial,low,,,csv
stress blood test,40,,1.3,0.42,commercial,future-kit-cortisol,4,validated,low,consumer term,,,dfs,1,commercial,low,,,csv
prolactin test,1600,0,1.47,0.86,commercial,pillar-C,3,validated,high,Kit 1 expansion marker - hormone panel add-on,,,dfs,6,commercial,gate,,,csv
psa blood test,8100,48,0.78,0.99,commercial,future-kit-prostate,3,validated,very-high,clinical authority dominance - cancer charity SERP - compliance burden heavy,,,dfs,4,commercial,very-high,,,csv
prostate blood test,3600,49,0.76,0.96,commercial,future-kit-prostate,4,validated,very-high,clinical SERP,,,dfs,3,commercial,very-high,,,csv
psa test uk,0,24,0,0,commercial,future-kit-prostate,4,validated,very-high,UK qualifier,,,dfs,3,commercial,very-high,,,csv
private psa test,0,6,0,0,commercial,future-kit-prostate,3,validated,very-high,KD 28 winnable but compliance gate,,,dfs,5,commercial,very-high,,,csv
kidney function test,0,47,0,0,commercial,future-kit-kidney,4,validated,low,future panel - NHS/kidney charity SERP dominance,,,dfs,1,commercial,low,,,csv
urea and electrolytes test,2400,0,1.11,0.03,commercial,future-kit-kidney,2,validated,low,low-KD spoke for kidney panel,,,dfs,7,commercial,low,Y,CONTESTED,csv
lft blood test,0,22,0,0,commercial,pillar-H,4,validated,low,future liver panel anchor,,,dfs,3,commercial,low,,,csv
liver function test uk,0,1,0,0,commercial,pillar-H,3,validated,low,UK variant,,,dfs,5,commercial,low,,,csv
private liver test,170,0,1.43,1,commercial,pillar-H,3,validated,low,LP variant,,,dfs,5,commercial,low,,,csv
biological age test uk,140,1,0.84,0.99,commercial,future-kit-longevity,3,validated,low,KD 3 niche GlycanAge competitor space,,,dfs,5,commercial,low,,,csv
dna test uk,1900,47,1.62,1,commercial,dropped,3,dropped,medium,different product category not blood,,,legacy,,,,,,
food intolerance test uk,5400,57,2.49,1,commercial,dropped,3,dropped,very-high,DO NOT BUILD - SERP = NHS+BBC+Which+BDA skepticism IgG unreliable - brand misalignment,,,legacy,,,,,,
food sensitivity test,5400,52,2.45,1,commercial,dropped,3,dropped,very-high,DO NOT BUILD - same skepticism,,,legacy,,,,,,
allergy blood test uk,210,23,1.49,1,commercial,dropped,3,dropped,high,IgG methodology concerns,,,legacy,,,,,,
sti test uk,590,59,0,0,commercial,dropped,3,dropped,medium,different operational model not blood-spot,,,legacy,,,,,,
sti blood test,390,,0,0,commercial,dropped,3,dropped,medium,different category,,,legacy,,,,,,
mens sti test,260,60,1.05,0.91,commercial,dropped,3,dropped,medium,different category Better2Know/LetsGetChecked own niche,,,legacy,,,,,,
hiv test uk,320,28,0,0,commercial,dropped,3,dropped,medium,different category,,,legacy,,,,,,
chlamydia test uk,170,39,0,0,commercial,dropped,3,dropped,medium,different category,,,legacy,,,,,,
syphilis test uk,90,,0,0,commercial,dropped,3,dropped,medium,different category,,,legacy,,,,,,
hepatitis test uk,10,,0.86,1,commercial,dropped,3,dropped,medium,low vol,,,legacy,,,,,,
heavy metals test uk,50,,1.13,1,commercial,dropped,3,dropped,medium,low vol niche,,,legacy,,,,,,
mercury test uk,30,,0.66,0.93,commercial,dropped,3,dropped,medium,low vol niche,,,legacy,,,,,,
magnesium test uk,20,,0.97,1,commercial,dropped,3,dropped,low,low vol,,,legacy,,,,,,
full iron studies,20,,0,0.33,commercial,dropped,3,dropped,low,low vol,,,legacy,,,,,,
iodine test uk,20,,0.73,0.99,commercial,dropped,3,dropped,medium,low vol,,,legacy,,,,,,
longevity test uk,20,,0,1,commercial,dropped,3,dropped,low,low vol,,,legacy,,,,,,
nad blood test,40,,1.26,0.98,commercial,dropped,3,dropped,medium,low vol,,,legacy,,,,,,
glycanage uk,0,,,,commercial,dropped,3,dropped,low,brand-specific competitor term,,,legacy,,,,,,
nuffield blood test,140,32,1.21,0.72,comparison,programmatic-compare,3,validated,medium,competitor brand,,,legacy,,,,,,
testosterone test uk,1900,0,0,0,commercial,lp-testosterone,3,validated,high,LP target Kit 1 page (duplicate intentional of pillar-C row 43; added 2026-05-26 B3),,,dfs,5,spoke,gate,,,backlog+csv
blood test for fatigue,720,0,0,0,commercial,lp-energy-recovery,3,validated,medium,LP target Kit 2 page (duplicate intentional of pillar-B row 39; added 2026-05-26 B3),,,dfs,6,commercial,medium,,,backlog+csv
supplements for joint pain,1900,9,0.98,1,commercial,lp-collagen,3,validated,medium,LP target Collagen page (duplicate intentional of pillar-G row 106; added 2026-05-26 B3),,,dfs,5,spoke,medium,,,csv
what does within normal range mean for testosterone,0,,0,0,informational,pillar-C,4,geo-only,high,GEO target - LLM prompt for myth-of-normal-range article,pillar-C-spoke-myth-of-normal-range,published,dfs,0,spoke,gate,,,csv
is normal testosterone the same as healthy testosterone,0,,0,0,informational,pillar-C,4,geo-only,high,GEO target - LLM prompt for myth-of-normal-range article,pillar-C-spoke-myth-of-normal-range,published,dfs,0,spoke,gate,,,csv
why is the testosterone reference range so wide,0,,0,0,informational,pillar-C,4,geo-only,high,GEO target - LLM prompt for myth-of-normal-range article,pillar-C-spoke-myth-of-normal-range,published,dfs,0,spoke,gate,,,csv
does the testosterone normal range account for age decline,0,,0,0,informational,pillar-C,4,geo-only,high,GEO target - LLM prompt for myth-of-normal-range article,pillar-C-spoke-myth-of-normal-range,published,dfs,0,spoke,gate,,,csv
what does borderline testosterone mean,0,,0,0,informational,pillar-C,4,geo-only,high,GEO target - LLM prompt for myth-of-normal-range article,pillar-C-spoke-myth-of-normal-range,published,dfs,0,spoke,gate,,,csv
liver function blood test,18100,18,3.24,,commercial,pillar-H,2,validated,medium,DFS KD18; SERP gate 2026-06-18 CONDITIONAL PASS - British Liver Trust owns head term + AIO; wedge = mens-recovery angle + interpretation spokes,pillar-H-hub-liver-function-blood-test,briefed,dfs,7,commercial,medium,n,MIXED,csv
liver function test results,2900,18,1.03,,informational,pillar-H,3,validated,medium,DFS KD18; results-explainer spoke; covered in passing by H hub,,planned,dfs,6,commercial,medium,,,csv
abnormal liver function test,1600,19,1.07,,informational,pillar-H,3,validated,medium,DFS KD19; abnormal/deranged spoke; covered in passing by H hub,,planned,dfs,5,commercial,medium,,,csv
liver function test interpretation,1600,24,1.62,,informational,pillar-H,3,validated,medium,DFS KD24; interpretation spoke; covered in passing by H hub,,planned,dfs,4,commercial,medium,,,csv
alt liver function test,1900,20,2.71,,informational,pillar-H,3,validated,medium,DFS KD20; ALT marker spoke; covered in passing by H hub,,planned,dfs,5,commercial,medium,,,csv
low sex drive,2900,42,2.86,,informational,kit-1-hook,4,validated,high,DFS; emotional front-door to Kit 1; ASA sexual-function sensitive - Ewa gate,,unassigned,dfs,3,spoke,gate,,,csv
brain fog,14800,33,2.03,,informational,kit-2-hook,3,validated,medium,DFS; B12/thyroid hook; maps Kit 2 / Kit 5,,unassigned,dfs,4,spoke,medium,,,csv
night sweats men,0,44,2.09,,informational,kit-1-hook,4,validated,medium,DFS; unserved hormone/andropause symptom; filter illness-related volume,,unassigned,dfs,1,spoke,medium,,,csv
visceral fat,18100,55,2,,informational,kit-3-plus-hook,4,validated,low,DFS; metabolic HOOK only - commodity SERP do NOT chase rank; Kit 3 Plus positioning language,,unassigned,dfs,3,spoke,low,,,csv
collagen for men,2400,6,2.9,,commercial,supplement-collagen,3,validated,low,DFS KD6; mens collagen content -> Collagen product; winnable low-KD,,unassigned,dfs,6,spoke,low,,,csv
testosterone levels by age chart,390,2,14.33,,informational,pillar-C,3,validated,medium,DFS KD2 2026-06-18; winnable; myth-of-normal-range re-opt target,pillar-C-spoke-myth-of-normal-range,published,dfs,4,spoke,gate,,,csv
normal testosterone levels in males nmol/l,320,2,3.71,,informational,pillar-C,3,validated,medium,DFS KD2 2026-06-18; UK unit; winnable; myth-of-normal-range re-opt,pillar-C-spoke-myth-of-normal-range,published,dfs,4,spoke,gate,,,csv
normal testosterone levels nmol/l,70,0,,,informational,pillar-C,3,validated,medium,DFS KD0 2026-06-18; UK unit; myth-of-normal-range re-opt,pillar-C-spoke-myth-of-normal-range,published,dfs,4,spoke,gate,,,csv
normal testosterone levels in males,480,23,14.48,,informational,pillar-C,4,validated,medium,DFS KD23 2026-06-18; myth-of-normal-range re-opt,pillar-C-spoke-myth-of-normal-range,published,dfs,2,spoke,gate,,,csv
average testosterone levels by age,110,27,2.57,,informational,pillar-C,4,validated,medium,DFS KD27 2026-06-18; myth-of-normal-range re-opt,pillar-C-spoke-myth-of-normal-range,published,dfs,2,spoke,gate,,,csv
normal testosterone range,70,,,,informational,pillar-C,4,validated,medium,DFS 2026-06-18 vol70 (bare head term); myth-of-normal-range re-opt,pillar-C-spoke-myth-of-normal-range,published,dfs,0,spoke,gate,,,csv
hba1c,40500,22,2.49,low,informational,pillar-I,2,validated,high,SERP gate 2026-06-18 FAILED AS ANCHOR - 100% diabetes-charity SERP (Diabetes UK+AIO) off-brand+high-compliance; demote to spoke; Pillar I anchor decision pending Keith (ApoB vs cholesterol),,deferred,dfs,7,spoke,gate,Y,MIXED,csv
thyroid test,6600,10,2.81,high,informational,pillar-J,3,validated,medium,DFS KD10; SERP gate 2026-06-18 CONDITIONAL PASS - NHS/BTF own informational head; wedge = mens framing + private-test/interpretation spokes,pillar-J-hub-thyroid-test,briefed,dfs,6,commercial,medium,n,CONTESTED,csv
normal testosterone levels in males ng/ml,720,38,4.93,,informational,pillar-C,4,validated,medium,DFS KD38 2026-06-18; US unit (ng/ml) UK uses nmol/L so secondary,pillar-C-spoke-myth-of-normal-range,published,dfs,2,spoke,gate,,,backlog+csv
inflammatory markers list,480,0,,,informational,pillar-G,3,validated,medium,DFS KD0 2026-06-18; inflammatory-markers re-opt,pillar-G-hub-inflammatory-markers-blood-test,published,dfs,4,spoke,medium,,,csv
what are inflammatory markers in blood tests,320,8,,,informational,pillar-G,3,validated,medium,DFS KD8 2026-06-18; inflammatory-markers re-opt,pillar-G-hub-inflammatory-markers-blood-test,published,dfs,4,spoke,medium,,,csv
what should your inflammatory markers be,140,11,,,informational,pillar-G,4,validated,medium,DFS KD11 2026-06-18; inflammatory-markers re-opt,pillar-G-hub-inflammatory-markers-blood-test,published,dfs,3,spoke,medium,,,csv
high inflammatory markers and fatigue,210,3,,,informational,pillar-G,3,validated,medium,DFS KD3 2026-06-18; inflammatory-markers re-opt,pillar-G-hub-inflammatory-markers-blood-test,published,dfs,4,spoke,medium,,,csv
infection markers in blood normal range,590,13,,,informational,pillar-G,3,validated,medium,DFS KD13 2026-06-18; infection-vs-inflammation angle; inflammatory-markers re-opt,pillar-G-hub-inflammatory-markers-blood-test,published,dfs,4,spoke,medium,,,csv
infection markers in blood over 300,590,22,,,informational,pillar-G,4,validated,medium,DFS KD22 2026-06-18; acute/GP territory; inflammatory-markers re-opt,pillar-G-hub-inflammatory-markers-blood-test,published,dfs,3,spoke,medium,,,csv
mchc blood test,12100,0,,,,D,1,candidate,,teardown/discovery 2026-06-21,,,dfs,9,commercial,,Y,MIXED,backlog
serum gamma gt level,8100,4,,,,,1,candidate,,teardown/discovery 2026-06-21,,,dfs,9,spoke,,Y,WEDGE,backlog
mcv test,8100,0,,,,D,1,candidate,,teardown/discovery 2026-06-21,,,dfs,9,commercial,,Y,MIXED,backlog
blood work crp test,27100,27,,,,D,2,candidate,,teardown/discovery 2026-06-21,,,dfs,7,commercial,,n,MIXED,discovery
testosterone testing,22200,8,,,,C,2,candidate,high,teardown/discovery 2026-06-21,,,dfs,8,spoke,gate,Y,CONTESTED,backlog
full blood count check,18100,9,,,,D,2,candidate,,teardown/discovery 2026-06-21,,,dfs,8,spoke,,Y,MIXED,discovery
blood work test near me,12100,0,,,,,2,candidate,,teardown/discovery 2026-06-21,,,dfs,7,commercial,,n,CONTESTED,backlog
count of lymphocytes,12100,9,,,,D,2,candidate,,teardown/discovery 2026-06-21,,,dfs,8,spoke,,Y,MIXED,backlog
blood analysis mch,9900,0,,,,D,2,candidate,,teardown/discovery 2026-06-21,,,dfs,8,spoke,,Y,MIXED,backlog
blood test mean corpuscular hemoglobin,9900,11,,,,,2,candidate,,teardown/discovery 2026-06-21,,,dfs,7,commercial,,Y,CONTESTED,backlog
corpuscular haemoglobin,8100,2,,,,D,2,candidate,,teardown/discovery 2026-06-21,,,dfs,7,spoke,,Y,CONTESTED,backlog
mean corpuscular haemoglobin,8100,0,,,,D,2,candidate,,teardown/discovery 2026-06-21,,,dfs,7,spoke,,Y,CONTESTED,backlog
bupa health check,8100,0,,,,,2,candidate,,teardown/discovery 2026-06-21,,,dfs,7,commercial,,n,CONTESTED,discovery
ggt blood test,6600,10,,,,H,2,candidate,,teardown/discovery 2026-06-21,,,dfs,8,commercial,,Y,MIXED,backlog
haematocrit pcv low,6600,10,,,,D,2,candidate,,teardown/discovery 2026-06-21,,,dfs,7,spoke,,Y,MIXED,backlog
