query,vol,kd,category,variants,intent,kd_source,status
pulled muscle recovery,320,13,other,1,informational,dfs,candidate
pulled back muscle recovery,320,16,other,1,informational,dfs,candidate
muscle tear recovery,320,4,other,1,informational,dfs,candidate
shoulder muscle tear recovery time,320,0,other,1,informational,dfs,candidate
muscle strain recovery,320,13,other,1,informational,dfs,candidate
pulled back muscle recovery time,320,8,other,1,informational,dfs,candidate
octopus energy tel no,210,12,other,1,navigational,dfs,candidate
octopus energy telephone no,210,28,other,1,navigational,dfs,candidate
energy companies no standing charge,170,13,other,1,informational,dfs,candidate
i cant get no sleep remix,70,,other,1,informational,dfs,candidate
why cant i sleep past 5 am,50,28,other,2,informational,dfs,candidate
i cant get no sleep techno song,40,,other,1,informational,dfs,candidate
why cant i sleep with a concussion,20,,other,1,informational,dfs,candidate
why cant i sleep past 3 am,20,,other,1,informational,dfs,candidate
why cant i sleep past 4 am,20,,other,2,informational,dfs,candidate
why cant i sleep when im sad,10,,other,1,informational,dfs,candidate
why cant i sleep in animal crossing,10,,other,1,informational,dfs,candidate
why cant i sleep at 4 am,10,,other,1,informational,dfs,candidate
why cant i sleep in my summer car,10,,other,1,informational,dfs,candidate
why cant i sleep until 6 am,10,,other,1,informational,dfs,candidate
why cant i sleep on my stomach,10,,other,1,informational,dfs,candidate
what vitamins and supplements should i take,6600,30,solution,4,informational,dfs,candidate
what vitamins should i take,6600,42,solution,1,informational,dfs,candidate
best multivitamin supplements for men,5400,18,solution,1,commercial,dfs,candidate
protein supplement to gain weight,2400,6,solution,2,transactional,dfs,candidate
best supplements for men,2400,5,solution,2,commercial,dfs,candidate
best fat burning supplements for men,1300,10,solution,2,commercial,dfs,candidate
best fat burner supplements for men,1300,13,solution,1,commercial,dfs,candidate
what vitamins should i take daily,1300,53,solution,2,informational,dfs,candidate
muscle recovery supplements,880,3,solution,7,commercial,dfs,candidate
muscle recovery pill,880,0,solution,2,transactional,dfs,candidate
best supplements for energy,880,9,solution,4,commercial,dfs,candidate
best dietary supplements for energy,880,7,solution,1,commercial,dfs,candidate
what vitamins should i take daily for a woman,880,30,solution,1,informational,dfs,candidate
food supplements for energy,720,6,solution,1,informational,dfs,candidate
supplements for increased energy,720,1,solution,1,informational,dfs,candidate
dietary supplements for energy,720,,solution,1,commercial,dfs,candidate
supplements for more energy,720,21,solution,1,commercial,dfs,candidate
supplements for energy,720,4,solution,2,transactional,dfs,candidate
supplements for energy boost,720,1,solution,1,commercial,dfs,candidate
best food for muscle recovery,480,23,solution,5,informational,dfs,candidate
best fertility supplements for men,480,1,solution,2,commercial,dfs,candidate
what vitamins should i not take together,480,6,solution,1,informational,dfs,candidate
muscle recovery magnesium,390,0,solution,4,transactional,dfs,candidate
best supplements muscle recovery,320,0,solution,3,commercial,dfs,candidate
best pills for muscle recovery,320,3,solution,1,informational,dfs,candidate
best supplements for men over 40,320,3,solution,1,commercial,dfs,candidate
what vitamins should i take daily for a man,320,0,solution,1,informational,dfs,candidate
best supplements for men over 50,260,16,solution,1,commercial,dfs,candidate
best vitamin supplements for men over 60,210,30,solution,1,commercial,dfs,candidate
best testosterone supplements for men,210,15,solution,2,commercial,dfs,candidate
best collagen supplements for men,170,29,solution,1,commercial,dfs,candidate
best vitamin supplements for men,170,4,solution,3,commercial,dfs,candidate
best health supplements for men,170,7,solution,1,commercial,dfs,candidate
best supplements for weight loss men,140,12,solution,4,commercial,dfs,candidate
best supplements for men losing weight,140,22,solution,1,commercial,dfs,candidate
best creatine supplements for men,140,13,solution,1,commercial,dfs,candidate
energy supplements for men,140,2,solution,4,transactional,dfs,candidate
male supplements for energy,140,0,solution,1,transactional,dfs,candidate
supplements for energy and focus,140,15,solution,2,informational,dfs,candidate
what vitamins should i take as a woman,140,28,solution,1,informational,dfs,candidate
best iron supplements for men,110,11,solution,1,commercial,dfs,candidate
best supplements for energy boost,110,16,solution,1,commercial,dfs,candidate
horse supplements for energy,110,0,solution,2,transactional,dfs,candidate
best supplements for focus and energy,110,8,solution,2,commercial,dfs,candidate
natural supplements for energy,110,8,solution,2,informational,dfs,candidate
what are good supplements for energy,110,4,solution,2,informational,dfs,candidate
what vitamins and supplements should i take quiz,110,0,solution,1,informational,dfs,candidate
what vitamins should i take vegetarian,110,19,solution,4,informational,dfs,candidate
what vitamins should i take vegan,110,7,solution,2,informational,dfs,candidate
what vitamins should i take man,110,16,solution,1,informational,dfs,candidate
what vitamins should i take for men,110,27,solution,3,informational,dfs,candidate
what vitamins should i take for energy,110,4,solution,1,informational,dfs,candidate
what vitamins should i take quiz,110,0,solution,1,informational,dfs,candidate
best muscle supplements for men,90,22,solution,2,commercial,dfs,candidate
best exercise supplements for men,90,22,solution,1,commercial,dfs,candidate
best magnesium supplements for men,90,31,solution,1,commercial,dfs,candidate
best hair supplements for men,90,0,solution,1,commercial,dfs,candidate
best gym supplements for men,90,12,solution,2,commercial,dfs,candidate
best daily supplements for men,90,1,solution,1,commercial,dfs,candidate
best fitness supplements for men,90,14,solution,1,commercial,dfs,candidate
best bodybuilding supplements for men,90,22,solution,1,commercial,dfs,candidate
best supplements for men working out,90,14,solution,1,commercial,dfs,candidate
best sexual health supplements for men,90,8,solution,1,commercial,dfs,candidate
best workout supplements for men,90,7,solution,1,commercial,dfs,candidate
pre workout supplements for energy,90,23,solution,1,commercial,dfs,candidate
energy for workout supplements,90,25,solution,1,commercial,dfs,candidate
what b vitamins should i take,90,41,solution,1,informational,dfs,candidate
best supplements for men over 60,70,12,solution,1,commercial,dfs,candidate
best sex supplements for men,70,10,solution,1,commercial,dfs,candidate
best nitric oxide supplements for men,70,11,solution,1,commercial,dfs,candidate
protein supplements for energy,70,35,solution,1,commercial,dfs,candidate
what vitamins should i take each day,70,49,solution,1,informational,dfs,candidate
what vitamins should i take to lose weight,70,45,solution,1,informational,dfs,candidate
what vitamins should i take for hair growth,70,26,solution,1,informational,dfs,candidate
what vitamins should i take for weight loss,70,35,solution,1,informational,dfs,candidate
what vitamins should i take for prenatal,70,40,solution,1,informational,dfs,candidate
what vitamins should i take everyday,70,30,solution,1,informational,dfs,candidate
best supplements for hair growth men,50,,solution,2,commercial,dfs,candidate
best gut health supplements for men,50,,solution,1,commercial,dfs,candidate
best supplements for energy for men,50,,solution,2,commercial,dfs,candidate
drink supplements for energy,50,3,solution,1,informational,dfs,candidate
supplements for energy uk,50,0,solution,1,commercial,dfs,candidate
what vitamins should i take in winter,50,0,solution,1,informational,dfs,candidate
what vitamins should i take for perimenopause,50,20,solution,1,informational,dfs,candidate
magnesium supplements for energy,40,,solution,1,commercial,dfs,candidate
best supplements for weight loss and energy,40,,solution,3,commercial,dfs,candidate
iron supplements for energy,40,,solution,1,informational,dfs,candidate
best pre workout supplements for energy,40,,solution,1,commercial,dfs,candidate
best supplements for more energy,40,,solution,1,commercial,dfs,candidate
what supplements should i take for energy,40,,solution,1,informational,dfs,candidate
best workout supplements for energy,40,,solution,1,commercial,dfs,candidate
what prenatal vitamins should i take uk,40,,solution,1,informational,dfs,candidate
what vitamins should i take for low iron,40,,solution,1,informational,dfs,candidate
what vitamins should i take with orlistat,40,27,solution,1,informational,dfs,candidate
what vitamins should i take postpartum,40,,solution,1,informational,dfs,candidate
what vitamins should i take when breastfeeding,40,7,solution,1,informational,dfs,candidate
what vitamins should i take while breastfeeding,40,50,solution,1,informational,dfs,candidate
best supplements for men over 50 uk,30,,solution,1,commercial,dfs,candidate
best weight gaining supplements for men,30,,solution,1,commercial,dfs,candidate
best supplements for men muscle growth,30,,solution,1,commercial,dfs,candidate
best vitamin and mineral supplements for men,30,,solution,1,commercial,dfs,candidate
best muscle gaining supplements for men,30,,solution,1,commercial,dfs,candidate
best food supplements for men,30,,solution,1,commercial,dfs,candidate
best muscle building supplements for men,30,,solution,1,commercial,dfs,candidate
best muscle gain supplements for men,30,,solution,2,commercial,dfs,candidate
best supplements for energy and concentration,30,,solution,1,commercial,dfs,candidate
vitamins or supplements for energy,30,30,solution,4,informational,dfs,candidate
best natural supplements for energy,30,,solution,1,informational,dfs,candidate
best herbal supplements for energy,30,,solution,1,informational,dfs,candidate
what vitamins should i take for crepey skin,30,9,solution,1,informational,dfs,candidate
what vitamins should i take to improve my immune system,30,50,solution,1,informational,dfs,candidate
what vitamins should i take after giving birth,30,1,solution,1,informational,dfs,candidate
what vitamins and supplements should i take daily,30,,solution,1,informational,dfs,candidate
what vitamins should i take for immune system,30,67,solution,1,informational,dfs,candidate
what vitamins should i take together,30,,solution,1,informational,dfs,candidate
what vitamins should i take uk,30,51,solution,1,informational,dfs,candidate
best supplements for men uk,20,,solution,1,commercial,dfs,candidate
best supplements for men reddit,20,,solution,1,informational,dfs,candidate
best pre workout supplements for men,20,16,solution,1,commercial,dfs,candidate
best protein supplements for men,20,,solution,1,commercial,dfs,candidate
best supplements for men over 30,20,,solution,1,commercial,dfs,candidate
best workout supplements for men over 50,20,,solution,1,commercial,dfs,candidate
best fat loss supplements for men,20,,solution,1,commercial,dfs,candidate
best bodybuilding supplements for men over 50,20,,solution,1,commercial,dfs,candidate
best bladder control supplements for men,20,,solution,1,commercial,dfs,candidate
best calcium supplements for men,20,,solution,1,commercial,dfs,candidate
best collagen supplements uk for men,20,,solution,1,commercial,dfs,candidate
energy booster supplements for men,20,,solution,1,transactional,dfs,candidate
energy supplements for dogs,20,48,solution,1,transactional,dfs,candidate
best supplements for energy uk,20,,solution,1,commercial,dfs,candidate
